type,value,comment
domain,errvghu.com,Cobalt Strike C2 server linked to Ryuk activity
domain,fastbloodhunter.com,Cobalt Strike C2 server linked to Ryuk activity
domain,fifteenthservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,fifthservice-developer.com,Cobalt Strike C2 server linked to Ryuk activity
domain,fifthservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,fifthserviceupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,findtus.com,Cobalt Strike C2 server linked to Ryuk activity
domain,firstservice-developer.com,Cobalt Strike C2 server linked to Ryuk activity
domain,firstserviceupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,firstservisehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,firsttus.com,Cobalt Strike C2 server linked to Ryuk activity
domain,fourservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,fourteenthservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,fourthservice-developer.com,Cobalt Strike C2 server linked to Ryuk activity
domain,fourthserviceupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,freeallsafe.com,Cobalt Strike C2 server linked to Ryuk activity
domain,freeoldsafe.com,Cobalt Strike C2 server linked to Ryuk activity
domain,gameleaderr.com,Cobalt Strike C2 server linked to Ryuk activity
domain,getinformationss.com,Cobalt Strike C2 server linked to Ryuk activity
domain,giveasees.com,Cobalt Strike C2 server linked to Ryuk activity
domain,greattus.com,Cobalt Strike C2 server linked to Ryuk activity
domain,gtrsqer.com,Cobalt Strike C2 server linked to Ryuk activity
domain,gungameon.com,Cobalt Strike C2 server linked to Ryuk activity
domain,gunsdrag.com,Cobalt Strike C2 server linked to Ryuk activity
domain,hakunaman.com,Cobalt Strike C2 server linked to Ryuk activity
domain,hakunamatatata.com,Cobalt Strike C2 server linked to Ryuk activity
domain,harddagger.com,Cobalt Strike C2 server linked to Ryuk activity
domain,havemosts.com,Cobalt Strike C2 server linked to Ryuk activity
domain,havesetup.net,Cobalt Strike C2 server linked to Ryuk activity
domain,helpforyourservice.com,Cobalt Strike C2 server linked to Ryuk activity
domain,hotlable.com,Cobalt Strike C2 server linked to Ryuk activity
domain,hunbabe.com,Cobalt Strike C2 server linked to Ryuk activity
domain,hungrrybaby.com,Cobalt Strike C2 server linked to Ryuk activity
domain,huntersservice.com,Cobalt Strike C2 server linked to Ryuk activity
domain,hurrypotter.com,Cobalt Strike C2 server linked to Ryuk activity
domain,hybriqdjs.com,Cobalt Strike C2 server linked to Ryuk activity
domain,ibackupboost.com,Cobalt Strike C2 server linked to Ryuk activity
domain,ibackupupdate.com,Cobalt Strike C2 server linked to Ryuk activity
domain,ibackupview.com,Cobalt Strike C2 server linked to Ryuk activity
domain,idriveboost.com,Cobalt Strike C2 server linked to Ryuk activity
domain,idrivecheck.com,Cobalt Strike C2 server linked to Ryuk activity
domain,idrivedownload.com,Cobalt Strike C2 server linked to Ryuk activity
domain,idrivedwn.com,Cobalt Strike C2 server linked to Ryuk activity
domain,idrivefinder.com,Cobalt Strike C2 server linked to Ryuk activity
domain,idrivehepler.com,Cobalt Strike C2 server linked to Ryuk activity
domain,idriverrs.com,Cobalt Strike C2 server linked to Ryuk activity
domain,idriveupdate.com,Cobalt Strike C2 server linked to Ryuk activity
domain,idriveview.com,Cobalt Strike C2 server linked to Ryuk activity
domain,iexploreservice.com,Cobalt Strike C2 server linked to Ryuk activity
domain,imagodd.com,Cobalt Strike C2 server linked to Ryuk activity
domain,imasterupdate.com,Cobalt Strike C2 server linked to Ryuk activity
domain,info-develop.com,Cobalt Strike C2 server linked to Ryuk activity
domain,it1booster.com,Cobalt Strike C2 server linked to Ryuk activity
domain,itopupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,iupdaters.com,Cobalt Strike C2 server linked to Ryuk activity
domain,jomamba.best,Cobalt Strike C2 server linked to Ryuk activity
domain,jonsonsbabyy.com,Cobalt Strike C2 server linked to Ryuk activity
domain,kungfupandasa.com,Cobalt Strike C2 server linked to Ryuk activity
domain,lindasak.com,Cobalt Strike C2 server linked to Ryuk activity
domain,livecheckpointsrs.com,Cobalt Strike C2 server linked to Ryuk activity
domain,livetus.com,Cobalt Strike C2 server linked to Ryuk activity
domain,loockfinderrs.com,Cobalt Strike C2 server linked to Ryuk activity
domain,loxliver.com,Cobalt Strike C2 server linked to Ryuk activity
domain,lsassupdate.com,Cobalt Strike C2 server linked to Ryuk activity
domain,lsasswininfo.com,Cobalt Strike C2 server linked to Ryuk activity
domain,luckyhunterrs.com,Cobalt Strike C2 server linked to Ryuk activity
domain,martahzz.com,Cobalt Strike C2 server linked to Ryuk activity
domain,maybebaybe.com,Cobalt Strike C2 server linked to Ryuk activity
domain,microsoftupdateswin.com,Cobalt Strike C2 server linked to Ryuk activity
domain,mixunderax.com,Cobalt Strike C2 server linked to Ryuk activity
domain,moonshardd.com,Cobalt Strike C2 server linked to Ryuk activity
domain,mountasd.com,Cobalt Strike C2 server linked to Ryuk activity
domain,myobtain.com,Cobalt Strike C2 server linked to Ryuk activity
domain,myservicebooster.com,Cobalt Strike C2 server linked to Ryuk activity
domain,myservicebooster.net,Cobalt Strike C2 server linked to Ryuk activity
domain,myserviceconnect.net,Cobalt Strike C2 server linked to Ryuk activity
domain,myserviceupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,myyserviceupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,nas-leader.com,Cobalt Strike C2 server linked to Ryuk activity
domain,nas-simple-helper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,nashelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,nasmasterservice.com,Cobalt Strike C2 server linked to Ryuk activity
domain,nasmastrservice.com,Cobalt Strike C2 server linked to Ryuk activity
domain,newservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,nineteenthservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,ninethservice-developer.com,Cobalt Strike C2 server linked to Ryuk activity
domain,ninethserviceupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,ninthservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,nomadfunclub.com,Cobalt Strike C2 server linked to Ryuk activity
domain,primeviref.com,Cobalt Strike C2 server linked to Ryuk activity
domain,puckhunterrr.com,Cobalt Strike C2 server linked to Ryuk activity
domain,pudgeee.com,Cobalt Strike C2 server linked to Ryuk activity
domain,qascker.com,Cobalt Strike C2 server linked to Ryuk activity
domain,quwasd.com,Cobalt Strike C2 server linked to Ryuk activity
domain,raaidboss.com,Cobalt Strike C2 server linked to Ryuk activity
domain,raidbossa.com,Cobalt Strike C2 server linked to Ryuk activity
domain,raingamess.com,Cobalt Strike C2 server linked to Ryuk activity
domain,rapirasa.com,Cobalt Strike C2 server linked to Ryuk activity
domain,razorses.com,Cobalt Strike C2 server linked to Ryuk activity
domain,realgamess.com,Cobalt Strike C2 server linked to Ryuk activity
domain,regbed.com,Cobalt Strike C2 server linked to Ryuk activity
domain,reginds.com,Cobalt Strike C2 server linked to Ryuk activity
domain,remotessa.com,Cobalt Strike C2 server linked to Ryuk activity
domain,renovatesystem.com,Cobalt Strike C2 server linked to Ryuk activity
domain,rulemonster.com,Cobalt Strike C2 server linked to Ryuk activity
domain,saynoforbubble.com,Cobalt Strike C2 server linked to Ryuk activity
domain,scrservallinst.info,Cobalt Strike C2 server linked to Ryuk activity
domain,secondlivve.com,Cobalt Strike C2 server linked to Ryuk activity
domain,secondservice-developer.com,Cobalt Strike C2 server linked to Ryuk activity
domain,secondservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,secondserviceupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,service-booster.com,Cobalt Strike C2 server linked to Ryuk activity
domain,service-boosterr.com,Cobalt Strike C2 server linked to Ryuk activity
domain,service-checker.com,Cobalt Strike C2 server linked to Ryuk activity
domain,service-hel.com,Cobalt Strike C2 server linked to Ryuk activity
domain,service-hellper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,service-helpes.com,Cobalt Strike C2 server linked to Ryuk activity
domain,service-hunter.com,Cobalt Strike C2 server linked to Ryuk activity
domain,service-leader.com,Cobalt Strike C2 server linked to Ryuk activity
domain,service-updateer.com,Cobalt Strike C2 server linked to Ryuk activity
domain,service-updater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,service1boost.com,Cobalt Strike C2 server linked to Ryuk activity
domain,service1update.com,Cobalt Strike C2 server linked to Ryuk activity
domain,service1updater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,service1view.com,Cobalt Strike C2 server linked to Ryuk activity
domain,serviceboosterr.com,Cobalt Strike C2 server linked to Ryuk activity
domain,serviceboostnumberone.com,Cobalt Strike C2 server linked to Ryuk activity
domain,servicecheckerr.com,Cobalt Strike C2 server linked to Ryuk activity
domain,servicedbooster.com,Cobalt Strike C2 server linked to Ryuk activity
domain,servicedhunter.com,Cobalt Strike C2 server linked to Ryuk activity
domain,servicedpower.com,Cobalt Strike C2 server linked to Ryuk activity
domain,servicedupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,servicegungster.com,Cobalt Strike C2 server linked to Ryuk activity
domain,servicehel.com,Cobalt Strike C2 server linked to Ryuk activity
domain,servicehunterr.com,Cobalt Strike C2 server linked to Ryuk activity
domain,servicemonsterr.com,Cobalt Strike C2 server linked to Ryuk activity
domain,servicemount.com,Cobalt Strike C2 server linked to Ryuk activity
domain,servicemusthave.com,Cobalt Strike C2 server linked to Ryuk activity
domain,servicereader.com,Cobalt Strike C2 server linked to Ryuk activity
domain,servicesbooster.com,Cobalt Strike C2 server linked to Ryuk activity
domain,servicesbooster.org,Cobalt Strike C2 server linked to Ryuk activity
domain,servicesecurity.org,Cobalt Strike C2 server linked to Ryuk activity
domain,serviceshelpers.com,Cobalt Strike C2 server linked to Ryuk activity
domain,serviceshelps.com,Cobalt Strike C2 server linked to Ryuk activity
domain,servicesupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,serviceswork.net,Cobalt Strike C2 server linked to Ryuk activity
domain,serviceupdates.net,Cobalt Strike C2 server linked to Ryuk activity
domain,serviceupdatter.com,Cobalt Strike C2 server linked to Ryuk activity
domain,serviceuphelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,servicewikii.com,Cobalt Strike C2 server linked to Ryuk activity
domain,seventeenthservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,seventhservice-developer.com,Cobalt Strike C2 server linked to Ryuk activity
domain,seventhservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,seventhserviceupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,sexycservice.com,Cobalt Strike C2 server linked to Ryuk activity
domain,sexyservicee.com,Cobalt Strike C2 server linked to Ryuk activity
domain,shabihere.com,Cobalt Strike C2 server linked to Ryuk activity
domain,sibalsakie.com,Cobalt Strike C2 server linked to Ryuk activity
domain,simple-backupbooster.com,Cobalt Strike C2 server linked to Ryuk activity
domain,sixteenthservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,sixthservice-developer.com,Cobalt Strike C2 server linked to Ryuk activity
domain,sixthservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,sixthserviceupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,sobcase.com,Cobalt Strike C2 server linked to Ryuk activity
domain,sophosdefence.com,Cobalt Strike C2 server linked to Ryuk activity
domain,starcyclone.com,Cobalt Strike C2 server linked to Ryuk activity
domain,sunofgodd.com,Cobalt Strike C2 server linked to Ryuk activity
domain,sweetmonsterr.com,Cobalt Strike C2 server linked to Ryuk activity
domain,target-support.online,Cobalt Strike C2 server linked to Ryuk activity
domain,tarhungangster.com,Cobalt Strike C2 server linked to Ryuk activity
domain,taskshedulewin.com,Cobalt Strike C2 server linked to Ryuk activity
domain,tenthservice-developer.com,Cobalt Strike C2 server linked to Ryuk activity
domain,tenthservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,tenthserviceupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,thecheckupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,thirdservice-developer.com,Cobalt Strike C2 server linked to Ryuk activity
domain,thirdservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,thirdserviceupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,thirteenthservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,tiancaii.com,Cobalt Strike C2 server linked to Ryuk activity
domain,timesshifts.com,Cobalt Strike C2 server linked to Ryuk activity
domain,top-backuphelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,top-backupservice.com,Cobalt Strike C2 server linked to Ryuk activity
domain,top-servicebooster.com,Cobalt Strike C2 server linked to Ryuk activity
domain,top-serviceupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,top3-services.com,Cobalt Strike C2 server linked to Ryuk activity
domain,top3servicebooster.com,Cobalt Strike C2 server linked to Ryuk activity
domain,top3servicebooster.com,Cobalt Strike C2 server linked to Ryuk activity
domain,topbackup-helper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,topbackupintheworld.com,Cobalt Strike C2 server linked to Ryuk activity
domain,topsecurityservice.net,Cobalt Strike C2 server linked to Ryuk activity
domain,topservice-masters.com,Cobalt Strike C2 server linked to Ryuk activity
domain,topservicebooster.com,Cobalt Strike C2 server linked to Ryuk activity
domain,topservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,topservicesbooster.com,Cobalt Strike C2 server linked to Ryuk activity
domain,topservicesecurity.com,Cobalt Strike C2 server linked to Ryuk activity
domain,topservicesecurity.net,Cobalt Strike C2 server linked to Ryuk activity
domain,topservicesecurity.org,Cobalt Strike C2 server linked to Ryuk activity
domain,topservicesupdate.com,Cobalt Strike C2 server linked to Ryuk activity
domain,topservicesupdates.com,Cobalt Strike C2 server linked to Ryuk activity
domain,topserviceupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,toyotacamryy.com,Cobalt Strike C2 server linked to Ryuk activity
domain,twelfthservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,twelvethserviceupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,twentiethservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,unlockwsa.com,Cobalt Strike C2 server linked to Ryuk activity
domain,update-wind.com,Cobalt Strike C2 server linked to Ryuk activity
domain,update-wins.com,Cobalt Strike C2 server linked to Ryuk activity
domain,updatemanagir.us,Cobalt Strike C2 server linked to Ryuk activity
domain,updatewinlsass.com,Cobalt Strike C2 server linked to Ryuk activity
domain,updatewinsoftr.com,Cobalt Strike C2 server linked to Ryuk activity
domain,view-backup.com,Cobalt Strike C2 server linked to Ryuk activity
domain,viewdrivers.com,Cobalt Strike C2 server linked to Ryuk activity
domain,vnuret.com,Cobalt Strike C2 server linked to Ryuk activity
domain,voiddas.com,Cobalt Strike C2 server linked to Ryuk activity
domain,web-analysis.live,Cobalt Strike C2 server linked to Ryuk activity
domain,webxyz.net,Cobalt Strike C2 server linked to Ryuk activity
domain,windefenceinfo.com,Cobalt Strike C2 server linked to Ryuk activity
domain,windefens.com,Cobalt Strike C2 server linked to Ryuk activity
domain,winsysteminfo.com,Cobalt Strike C2 server linked to Ryuk activity
domain,winsystemupdate.com,Cobalt Strike C2 server linked to Ryuk activity
domain,wodemayaa.com,Cobalt Strike C2 server linked to Ryuk activity
domain,wondergodst.com,Cobalt Strike C2 server linked to Ryuk activity
domain,worldtus.com,Cobalt Strike C2 server linked to Ryuk activity
domain,yourserviceupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,yoursuperservice.com,Cobalt Strike C2 server linked to Ryuk activity
domain,zapored.com,Cobalt Strike C2 server linked to Ryuk activity
domain,zetrexx.com,Cobalt Strike C2 server linked to Ryuk activity
domain,zhameharden.com,Cobalt Strike C2 server linked to Ryuk activity
url,https://mixcinc.com:443,Bazar Loader delivery or C2
url,https://nicknamec.com:443,Bazar Loader delivery or C2
url,https://titlecs.com:443,Bazar Loader delivery or C2
url,https://labelcs.com/9578547dc4cdff3ebf006a30248d3ca3/BI4uaS61--B2CrdZm3v0gxzEdXesvXkHyk6A4lFa,Bazar Loader delivery or C2
url,https://labelcs.com/9578547dc4cdff3ebf006a30248d3ca3/CxLc54lDRqbBAElRchn5jPTumGAUefy6-1VugOcU,Bazar Loader delivery or C2
url,https://labelcs.com/9578547dc4cdff3ebf006a30248d3ca3/eWbeTLzhU1wJ0qVlSQPH6ZffT2V41EViZZtfV0KO,Bazar Loader delivery or C2
url,https://labelcs.com/9578547dc4cdff3ebf006a30248d3ca3/LG6Npkyb5ve1XQfK7BpF6GpyEs0cvx0DQZBIs8NN,Bazar Loader delivery or C2
url,https://labelcs.com/9578547dc4cdff3ebf006a30248d3ca3/mCdVbk60ATsnXZOo2pXcitFFBLXHlmn9r774_2Z4,Bazar Loader delivery or C2
url,https://titlecs.com/issues/282,Bazar Loader delivery or C2
ip,18.188.194.80,Bazar Loader delivery or C2
ip,31.220.59.145,Bazar Loader delivery or C2
ip,54.245.74.151,Bazar Loader delivery or C2
domain,labelcs.com,Bazar Loader delivery or C2
domain,mixcinc.com,Bazar Loader delivery or C2
domain,nicknamec.com,Bazar Loader delivery or C2
domain,titlecs.com,Bazar Loader delivery or C2
