type,value,comment
ip,192.241.143.121,Cobalt Strike C2 server linked to Ryuk activity
ip,192.81.211.69,Cobalt Strike C2 server linked to Ryuk activity
ip,193.142.58.129,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.201,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.202,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.219,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.220,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.225,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.226,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.227,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.229,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.230,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.232,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.234,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.235,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.236,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.237,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.239,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.242,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.243,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.244,Cobalt Strike C2 server linked to Ryuk activity
ip,194.26.29.247,Cobalt Strike C2 server linked to Ryuk activity
ip,198.211.116.199,Cobalt Strike C2 server linked to Ryuk activity
ip,199.247.13.144,Cobalt Strike C2 server linked to Ryuk activity
ip,205.185.121.134,Cobalt Strike C2 server linked to Ryuk activity
ip,205.185.126.172,Cobalt Strike C2 server linked to Ryuk activity
ip,207.148.15.31,Cobalt Strike C2 server linked to Ryuk activity
ip,207.148.21.17,Cobalt Strike C2 server linked to Ryuk activity
ip,207.148.8.61,Cobalt Strike C2 server linked to Ryuk activity
ip,207.246.67.70,Cobalt Strike C2 server linked to Ryuk activity
ip,209.141.34.91,Cobalt Strike C2 server linked to Ryuk activity
ip,209.141.49.233,Cobalt Strike C2 server linked to Ryuk activity
ip,209.141.61.247,Cobalt Strike C2 server linked to Ryuk activity
ip,209.141.61.43,Cobalt Strike C2 server linked to Ryuk activity
ip,209.222.108.106,Cobalt Strike C2 server linked to Ryuk activity
ip,209.97.130.197,Cobalt Strike C2 server linked to Ryuk activity
ip,213.252.244.126,Cobalt Strike C2 server linked to Ryuk activity
ip,213.252.244.170,Cobalt Strike C2 server linked to Ryuk activity
ip,213.252.244.38,Cobalt Strike C2 server linked to Ryuk activity
